Geneid	male_24m_2	male_24m_1	male_3m_5	male_24m_7	male_3m_6	male_3m_3	male_24m_4
ENSMUSG00000102398	8	7	11	4	10	13	13
ENSMUSG00000122847	11	21	21	14	10	28	13
ENSMUSG00000097670	6	12	14	3	4	5	11
ENSMUSG00000026147	46	37	136	11	40	149	51
ENSMUSG00000026141	72	36	77	50	38	64	111
ENSMUSG00000125396	3	17	2	3	6	6	13
ENSMUSG00000125434	5	7	2	2	0	2	0
ENSMUSG00000077463	0	0	0	1	0	4	0
ENSMUSG00000099997	16	26	38	39	11	11	21
ENSMUSG00000100131	1	5	1	7	5	6	11
ENSMUSG00000067736	2	3	3	3	2	0	7
ENSMUSG00000138098	8	4	0	0	1	4	2
ENSMUSG00000101939	0	0	0	0	0	0	0
ENSMUSG00000101111	7	16	3	17	14	9	13
ENSMUSG00000100862	8	21	3	21	16	9	22
ENSMUSG00000102070	8	6	4	5	3	4	12
ENSMUSG00000101249	10	11	7	16	15	4	11
ENSMUSG00000127021	3	3	12	5	6	3	6
ENSMUSG00000073725	229	472	477	782	624	128	420
ENSMUSG00000133176	0	0	4	0	5	4	6
ENSMUSG00000129414	2	1	0	0	0	0	0
ENSMUSG00000143216	1	6	7	4	2	2	12
ENSMUSG00000100808	2	0	2	0	2	0	3
ENSMUSG00000130976	5	1	1	0	3	1	7
ENSMUSG00000100483	1	11	7	3	4	4	13
ENSMUSG00000135830	1	3	1	0	0	1	4
ENSMUSG00000100450	1	0	7	0	0	1	0
ENSMUSG00000099392	0	1	3	1	1	2	4
ENSMUSG00000122244	14	12	13	9	4	28	42
ENSMUSG00000033569	97	86	167	50	46	106	112
ENSMUSG00000080849	0	0	1	0	0	0	0
ENSMUSG00000122289	0	5	9	0	2	0	5
ENSMUSG00000104257	2	2	2	1	5	1	3
ENSMUSG00000119153	0	0	0	0	0	0	0
ENSMUSG00000102296	1	5	2	0	0	0	0
ENSMUSG00000103209	13	6	29	12	8	17	28
ENSMUSG00000104027	25	51	52	19	26	34	49
ENSMUSG00000102407	5	19	8	3	2	7	28
ENSMUSG00000103214	38	31	34	15	17	18	16
ENSMUSG00000104100	16	10	20	5	4	6	29
ENSMUSG00000084740	4	1	1	1	0	0	2
ENSMUSG00000103889	19	10	13	21	11	27	29
ENSMUSG00000101301	4	11	4	1	1	4	6
ENSMUSG00000104221	19	14	19	5	2	26	48
ENSMUSG00000102250	36	50	56	15	41	45	61
ENSMUSG00000102317	27	12	33	2	3	26	45
ENSMUSG00000133748	5	1	0	0	4	4	4
ENSMUSG00000103563	9	15	3	7	8	10	17
ENSMUSG00000102465	7	33	20	12	9	15	48
ENSMUSG00000102659	4	8	9	5	0	7	14
ENSMUSG00000103924	26	13	28	9	14	15	43
ENSMUSG00000104132	42	35	44	15	20	63	56
ENSMUSG00000102747	30	76	51	30	38	79	46
ENSMUSG00000102386	6	1	2	2	5	1	15
ENSMUSG00000103004	1	0	0	0	0	1	2
ENSMUSG00000135201	0	0	0	0	0	0	0
ENSMUSG00000104516	0	2	1	0	7	0	0
ENSMUSG00000130306	5	8	8	5	1	8	15
ENSMUSG00000101618	0	5	9	0	3	1	6
ENSMUSG00000099458	2	2	6	0	3	0	1
ENSMUSG00000088111	1	7	2	1	0	0	2
ENSMUSG00000140232	7	21	30	4	10	24	23
ENSMUSG00000073722	7	4	14	8	7	20	8
ENSMUSG00000119695	0	2	3	1	3	8	0
ENSMUSG00000133566	16	9	12	4	6	1	15
ENSMUSG00000100310	0	0	3	0	0	0	2
ENSMUSG00000129952	9	8	8	1	2	15	32
ENSMUSG00000101514	15	14	12	9	10	20	24
ENSMUSG00000101033	0	1	0	0	0	0	5
ENSMUSG00000101372	7	9	15	15	10	6	10
ENSMUSG00000129466	4	6	4	4	7	7	10
ENSMUSG00000141222	2	4	4	0	1	7	10
ENSMUSG00000139702	1	1	5	3	6	10	1
ENSMUSG00000103241	5	5	2	4	3	5	8
ENSMUSG00000086240	1	5	5	10	7	5	6
ENSMUSG00000138065	14	18	25	10	13	43	29
ENSMUSG00000048411	16	12	2	1	1	5	18
ENSMUSG00000081557	13	6	16	0	1	12	5
ENSMUSG00000058590	4	0	7	0	3	2	6
ENSMUSG00000124238	0	2	0	4	0	0	2
ENSMUSG00000101235	1	9	6	3	3	0	6
ENSMUSG00002075209	0	1	1	0	0	0	0
ENSMUSG00002076857	0	2	0	0	0	0	2
ENSMUSG00002074912	0	0	0	0	0	4	3
ENSMUSG00000128221	1	0	5	0	3	3	4
ENSMUSG00000099257	0	0	0	0	0	0	0
ENSMUSG00000099492	4	4	16	14	8	1	4
ENSMUSG00000123191	2	6	2	7	3	4	0
ENSMUSG00000118548	1	8	7	3	5	10	8
ENSMUSG00000101726	0	5	15	2	1	3	4
ENSMUSG00002075317	0	3	2	0	0	0	1
ENSMUSG00000127937	39	48	71	20	31	59	83
