gene_id	SRR9126859	SRR9126934	SRR9127063	SRR9127293	SRR9127308	SRR9127357	SRR9127396
ENSMUSG00000001383.10	0.884932	0	2.234758	2.27623	1.504305	0	3.227418
ENSMUSG00000001403.14	0.066501	0.134222	0.264844	0.243844	0.244038	0.014184	0.574719
ENSMUSG00000001415.11	3.612533	4.970215	5.919436	6.998596	7.990958	2.799508	5.906604
ENSMUSG00000001416.14	2.580427	8.954295	2.701214	8.365547	7.8176	1.238349	8.653194
ENSMUSG00000001418.14	10.005581	9.757541	6.108424	14.634636	14.316729	1.703731	6.70027
ENSMUSG00000001419.18	2.457803	4.61388	4.338576	3.704204	7.079175	0.753571	3.628157
ENSMUSG00000001420.14	0.573449	0.400003	0.221353	0.640712	1.295219	0.014225	0.398078
ENSMUSG00000001424.15	2.113521	2.5383	2.265952	1.772095	2.723277	1.410486	2.088624
ENSMUSG00000001435.16	0	0	0	0.027702	0	0.182536	0.287793
ENSMUSG00000001436.16	1.375304	0.203161	0.403972	1.366061	0.607058	0.181142	0.643466
ENSMUSG00000001440.6	3.50191	4.895768	4.663988	8.998095	7.357423	1.352018	4.123544
ENSMUSG00000001441.14	27.395952	24.117782	30.476526	25.166156	24.547579	8.693458	32.90095
ENSMUSG00000001444.3	0.216589	0.324255	0.515468	1.279232	0.421456	0.091593	0.759803
ENSMUSG00000001445.11	0	0	0	0	0	0.501144	0
ENSMUSG00000001467.6	1.242777	1.694304	2.684753	2.931633	3.109541	0.730258	2.201037
ENSMUSG00000001472.18	9.482788	19.157364	13.505749	25.799845	28.254929	2.784345	15.572556
ENSMUSG00000001473.8	4.868038	15.036038	5.92378	11.918298	11.007166	1.907146	7.061926
ENSMUSG00000001482.16	1.055066	0.527396	2.260143	3.870463	3.475218	0.209773	1.396457
ENSMUSG00000001493.10	0.300793	0.980362	0.486652	0.365355	0.702796	0.117013	0.866849
ENSMUSG00000001494.7	9.382935	21.068655	13.579577	1.844296	45.446919	0.497036	16.1783
ENSMUSG00000001496.16	0.033111	0.055739	0.101478	0.040007	0.045147	0	0.15348
ENSMUSG00000001497.19	0.404475	0	0.157239	0	0	0	0.128786
ENSMUSG00000001504.11	0.355963	0.07611	0.317688	0.191711	0.016472	0.299508	0.071338
ENSMUSG00000001506.11	891.327836	2202.459141	1971.760411	1241.226838	3352.585768	326.117885	1196.951861
ENSMUSG00000001507.17	0.314299	0	0.366404	0.045925	0	0.069168	0.107119
ENSMUSG00000001508.16	0.136038	2.100674	0.252512	0.63742	2.167033	0.063599	1.029396
ENSMUSG00000001510.9	2.007562	4.450132	3.129348	2.193452	6.991575	0.966182	3.398012
ENSMUSG00000001517.15	2.59774	2.924915	6.989484	5.732236	2.524751	0.279903	2.635554
ENSMUSG00000001518.13	4.878347	3.646612	3.517193	4.245911	3.017156	1.500103	6.340232
ENSMUSG00000001520.13	0.568679	0.397978	0.600382	0.568096	0.466683	0.350636	1.117793
ENSMUSG00000001521.13	2.476684	1.929748	2.904579	1.432866	2.085436	1.007349	3.639511
ENSMUSG00000001524.15	1.144675	1.085305	3.879584	0.210844	2.117402	0.18749	1.154008
ENSMUSG00000001525.11	1.663089	1.041861	2.003943	3.321583	2.592853	0.526824	0.886417
ENSMUSG00000001542.8	6.770405	5.731109	7.88471	9.429244	16.106449	2.534417	9.72387
ENSMUSG00000001552.15	5.623205	10.09352	7.879694	16.36859	14.172519	1.751447	11.325938
ENSMUSG00000001555.11	1.389679	3.75149	4.303847	2.432629	4.685036	0.753146	2.262368
ENSMUSG00000001558.6	0.276703	0.061322	0.434961	0.020655	0.068177	0.073044	0.489378
ENSMUSG00000001566.11	0.16262	0	0.040184	0	0	0.038662	0.021473
ENSMUSG00000001569.11	0	0	0	0	0	0	0
ENSMUSG00000001576.16	5.871965	9.709263	6.950964	13.358378	7.617361	1.710495	6.53119
ENSMUSG00000001583.14	0.504756	0.303149	0.71028	1.161075	0.208482	0.035329	0.224418
