Geneid	male_4m_1	male_4m_2	male_4m_3	male_4m_4	male_4m_5	female_4m_1	female_4m_2	female_4m_3	female_4m_4	female_4m_5	male_18m_1	male_18m_2	male_18m_3	male_18m_4	male_18m_5	female_18m_1	female_18m_2	female_18m_3	female_18m_4	female_18m_5
ENSMUSG00000122809	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG000000556028	1.652	3	8	4	1	3.432	0	5	5.986	9.672	2.533	2.234	5	14.794	4.884	7.707	12.096	3	7.518	2.005
ENSMUSG00000081872	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000099914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG000000268436	525	375.001	755	479.999	362	454	314	463.001	522	580.999	590	589	622.999	443	379	500.001	621	470	751.999	541
ENSMUSG00000030244	1	2	3	0	1	8	1	1	2	0	1	1	0	1	1	2	0	0	3	0
ENSMUSG00002076551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG000000280137	978	831	1530	902.001	660	919	687.999	853	970	1219	945	1022	1007	758	696	1011	1288	858	1178	1092
ENSMUSG00000042742	226	280	403	260	110	307	234	263	349	383	293.001	286.309	300	215	186	262	272	233	337.097	276
ENSMUSG00000075312	0	0	0	13.825	16.416	0	6.159	10.84	14.27	5.048	11.509	17.499	16.999	7.663	0	15.478	15.245	9.111	0	22.266
ENSMUSG00000106578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG000000224438	556.011	534.128	780.49	569.202	419.581	522.306	368.695	451.001	593.52	673.751	250.402	309.923	273.206	243.596	174.096	253.153	292.287	239.313	393.099	308.364
ENSMUSG00000137664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000133475	5.004	7.688	4.807	2.469	1.001	0	5.779	2.929	2.189	0	5.759	1	5	5.726	1	3	4.19	2	4.63	1
