Geneid	WT_C_1	WT_C_2	WT_C_3	WT_T_1	WT_T_2	WT_T_3	KO_C_1	KO_C_2	KO_C_3	KO_T_1	KO_T_2	KO_T_3
ENSMUSG00000102597	0	2	2	14	5	7	2	3	8	0	2	0
ENSMUSG00000142065	0	0	0	0	1	1	0	1	0	1	0	2
ENSMUSG00000136536	6	6	1	14	19	11	6	3	1	2	0	4
ENSMUSG000000437607	17	21	39	120	62	156	24	21	42	22	12	22
ENSMUSG00000104095	5	7	5	15	17	23	10	3	3	1	2	6
ENSMUSG00000089914	0	2	3	11	8	28	0	0	5	5	0	6
ENSMUSG00000090142	0	0	2	2	1	4	1	0	1	0	1	1
ENSMUSG00000070175	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000099906	9	5	7	22	24	35	19	8	19	5	2	6
ENSMUSG00000065559	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000065480	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000133531	0	1	5	2	5	2	1	0	0	0	0	0
ENSMUSG00000025929	2	2	3	12	13	8	1	2	0	23	20	10
ENSMUSG000000418720	4	13	12	25	14	26	6	2	8	65	34	28
ENSMUSG000000418591	3292	1259	2287	221	220	175	4420	2718	2931	2591	2714	2201
ENSMUSG00000099714	1	0	0	4	6	3	2	1	5	0	0	3
ENSMUSG00000102121	5	3	4	3	11	15	7	5	12	2	1	3
ENSMUSG00000088858	0	0	0	0	0	1	1	0	0	0	1	0
ENSMUSG00000097934	9	8	4	20	13	15	9	4	10	8	9	8
ENSMUSG000000259316	42	25	59	53	28	45	80	53	78	185	195	179
ENSMUSG00000077314	0	2	2	1	1	0	2	0	0	2	1	1
ENSMUSG00000133875	4	2	0	0	8	6	5	1	0	0	1	3
ENSMUSG00000100929	0	0	0	3	2	3	0	1	1	0	3	1
ENSMUSG00000041809	8	15	4	20	15	18	22	6	9	24	43	20
ENSMUSG00000041779	107	68	120	92	51	75	113	77	89	117	208	217
ENSMUSG00000137435	5	1	9	13	15	8	3	10	6	8	10	13
ENSMUSG00000099971	0	2	2	12	1	9	0	0	3	0	0	3
ENSMUSG00000129840	0	2	0	3	5	11	3	9	3	1	2	4
ENSMUSG00000100819	0	1	1	2	0	0	0	0	2	0	0	0
ENSMUSG00000129885	1	9	5	12	14	8	7	6	4	2	2	1
ENSMUSG00000099343	3	8	12	26	11	12	12	11	5	3	3	11
ENSMUSG000000259336	35	9	15	21	10	20	48	40	36	57	65	38
ENSMUSG00000102633	4	0	7	14	9	8	2	3	4	2	6	5
